A_strategy,B_strategy,C_strategy,goal_rate,counter_rate,retained_rate,net_advantage
DIRECT_SHOT,SPLIT_WALL,STAY_CENTRAL,0.1822,0.0303,0.2882,0.1519
DIRECT_SHOT,HIGH_WALL,STAY_CENTRAL,0.1492,0.0,0.237,0.1492
DIRECT_SHOT,LATE_PRESS,STAY_CENTRAL,0.20805,0.0632,0.23085,0.14485
DIRECT_SHOT,SPLIT_WALL,COVER_COUNTER,0.163,0.0205,0.24975,0.14250000000000002
DIRECT_SHOT,LATE_PRESS,COVER_COUNTER,0.18905,0.04955,0.18845,0.1395
DIRECT_SHOT,HIGH_WALL,COVER_COUNTER,0.1299,0.0,0.19905,0.1299
FAR_POST_CROSS,LATE_PRESS,STAY_CENTRAL,0.17695,0.0989,0.37575,0.07805
FAR_POST_CROSS,SPLIT_WALL,STAY_CENTRAL,0.14695,0.07015,0.4327,0.0768
FAR_POST_CROSS,HIGH_WALL,STAY_CENTRAL,0.1172,0.04075,0.38,0.07644999999999999
FAR_POST_CROSS,LATE_PRESS,COVER_COUNTER,0.163,0.0893,0.3265,0.0737
FAR_POST_CROSS,HIGH_WALL,COVER_COUNTER,0.10145,0.03085,0.33925,0.0706
FAR_POST_CROSS,SPLIT_WALL,COVER_COUNTER,0.1284,0.06135,0.39575,0.06704999999999998
DIRECT_SHOT,LATE_PRESS,PRESS_SECOND_BALL,0.1833,0.11795,0.31195,0.06534999999999999
DIRECT_SHOT,HIGH_WALL,PRESS_SECOND_BALL,0.12235,0.05895,0.3222,0.0634
DIRECT_SHOT,SPLIT_WALL,PRESS_SECOND_BALL,0.15195,0.08975,0.36465,0.062200000000000005
FAR_POST_CROSS,LATE_PRESS,PRESS_SECOND_BALL,0.1532,0.15795,0.44935,-0.004750000000000004
FAR_POST_CROSS,SPLIT_WALL,PRESS_SECOND_BALL,0.12335,0.12955,0.50445,-0.006199999999999997
FAR_POST_CROSS,HIGH_WALL,PRESS_SECOND_BALL,0.0916,0.1016,0.45825,-0.009999999999999995
QUICK_RESTART,HIGH_WALL,STAY_CENTRAL,0.0477,0.0577,0.41485,-0.010000000000000002
QUICK_RESTART,LATE_PRESS,STAY_CENTRAL,0.1088,0.1198,0.4035,-0.01100000000000001
QUICK_RESTART,SPLIT_WALL,STAY_CENTRAL,0.0805,0.09395,0.46265,-0.013450000000000004
QUICK_RESTART,SPLIT_WALL,COVER_COUNTER,0.0593,0.0775,0.4185,-0.0182
QUICK_RESTART,LATE_PRESS,COVER_COUNTER,0.09165,0.11005,0.3618,-0.0184
QUICK_RESTART,HIGH_WALL,COVER_COUNTER,0.02895,0.0501,0.3665,-0.02115
QUICK_RESTART,SPLIT_WALL,PRESS_SECOND_BALL,0.0507,0.14845,0.53865,-0.09775
QUICK_RESTART,HIGH_WALL,PRESS_SECOND_BALL,0.02095,0.1221,0.4928,-0.10115
QUICK_RESTART,LATE_PRESS,PRESS_SECOND_BALL,0.0818,0.18425,0.47295,-0.10245
